day,time_slot,is_festival,is_holiday,location_type,city_type,nearby_transport,upcoming_festival,crowd_percentage
Sunday,05:00-05:30,No,Yes,Commercial,Tier I,Railway Station,No,0.4737183286722779
Tuesday,13:30-14:00,Yes,Yes,Residential,Tier III,Bus Stand,No,0.5063705875457606
Wednesday,01:00-01:30,Yes,No,Office Area,Tier I,None,Yes,0.8434493785515527
Monday,23:00-23:30,Yes,Yes,Commercial,Tier II,Airport,No,0.09713605838028583
Saturday,16:30-17:00,No,Yes,Office Area,Tier I,Railway Station,No,0.03887283948864839
Saturday,02:30-03:00,Yes,No,Office Area,Tier I,None,No,0.1423541203129126
Thursday,10:00-10:30,No,No,Market,Tier III,Railway Station,No,0.4238479929758995
Sunday,08:00-08:30,No,No,Market,Tier III,None,Yes,0.9186039582104647
Saturday,18:30-19:00,Yes,No,Market,Tier III,Bus Stand,No,0.011026408491480733
Saturday,15:30-16:00,No,Yes,Office Area,Tier II,None,Yes,0.713954278451977
Monday,22:00-22:30,No,Yes,Office Area,Tier II,Airport,No,0.985162325222063
Friday,03:30-04:00,Yes,Yes,Market,Tier I,Bus Stand,Yes,0.16698898828951647
Friday,03:00-03:30,Yes,Yes,Market,Tier II,Airport,No,0.8105757753813875
Monday,02:00-02:30,Yes,Yes,Commercial,Tier I,Airport,Yes,0.5104326899319719
Saturday,05:00-05:30,Yes,Yes,Commercial,Tier III,Bus Stand,No,0.7169726060613998
Monday,12:30-13:00,No,Yes,Office Area,Tier I,Bus Stand,No,0.9620493763318847
Saturday,02:00-02:30,Yes,No,Residential,Tier II,None,Yes,0.32411303729130037
Monday,13:00-13:30,No,Yes,Commercial,Tier II,None,Yes,0.5827110187757336
Tuesday,03:30-04:00,Yes,Yes,Residential,Tier II,Railway Station,No,0.09330275684203027
Thursday,10:30-11:00,No,Yes,Office Area,Tier II,Railway Station,No,0.8411164205645533
Monday,01:00-01:30,Yes,No,Residential,Tier I,None,No,0.9353536513083811
Wednesday,14:30-15:00,No,No,Commercial,Tier II,Bus Stand,No,0.9119794858218648
Wednesday,22:00-22:30,No,No,Commercial,Tier I,Airport,No,0.031384342975044
Friday,19:30-20:00,Yes,Yes,Residential,Tier II,Airport,No,0.5486052474947639
Sunday,22:30-23:00,No,Yes,Residential,Tier I,None,No,0.8545918323750884
Monday,13:00-13:30,No,No,Commercial,Tier III,Airport,Yes,0.5411341720011851
Friday,06:00-06:30,No,Yes,Residential,Tier III,None,Yes,0.5590681123060677
Tuesday,03:30-04:00,Yes,No,Residential,Tier II,None,No,0.9396759088082521
Wednesday,20:30-21:00,Yes,Yes,Commercial,Tier III,None,No,0.4318960578805192
Sunday,11:30-12:00,Yes,No,Residential,Tier III,None,Yes,0.23069528479608437
Sunday,00:00-00:30,Yes,Yes,Market,Tier I,Bus Stand,Yes,0.4141784392337662
Wednesday,08:30-09:00,No,No,Market,Tier II,Airport,Yes,0.2592327266558325
Sunday,21:00-21:30,No,Yes,Market,Tier III,Railway Station,Yes,0.40513691776362604
Sunday,11:00-11:30,No,No,Residential,Tier I,Railway Station,Yes,0.7169380839722699
Tuesday,22:30-23:00,Yes,No,Office Area,Tier I,None,No,0.6370050934260075
Wednesday,14:00-14:30,Yes,Yes,Market,Tier III,None,Yes,0.5173795164745162
Wednesday,07:00-07:30,No,No,Office Area,Tier III,Airport,Yes,0.3068910274710315
Monday,11:00-11:30,Yes,Yes,Commercial,Tier II,Airport,No,0.04457647039494661
Sunday,00:00-00:30,Yes,No,Market,Tier I,Railway Station,No,0.6504552172623265
Thursday,00:30-01:00,No,Yes,Commercial,Tier I,Bus Stand,No,0.32771320936454984
Thursday,06:30-07:00,Yes,No,Commercial,Tier I,Railway Station,Yes,0.675472902423717
Friday,23:30-00:00,No,Yes,Commercial,Tier III,Bus Stand,Yes,0.6667788473931575
Wednesday,08:30-09:00,No,Yes,Market,Tier II,Railway Station,No,0.10275053105829257
Friday,07:00-07:30,No,No,Office Area,Tier II,Bus Stand,Yes,0.13830515856221526
Monday,21:30-22:00,No,Yes,Office Area,Tier II,Bus Stand,Yes,0.4478684532109569
Friday,21:00-21:30,No,Yes,Commercial,Tier III,Airport,No,0.221240455102934
Monday,05:00-05:30,No,No,Market,Tier II,Bus Stand,No,0.6515146857352069
Tuesday,03:00-03:30,Yes,No,Commercial,Tier II,None,No,0.6698149509852543
Sunday,04:30-05:00,No,Yes,Office Area,Tier I,Airport,Yes,0.6271919418594395
Monday,17:30-18:00,Yes,Yes,Residential,Tier II,None,Yes,0.3250370932984765
Thursday,21:30-22:00,Yes,No,Commercial,Tier I,Bus Stand,No,0.7026454744560947
Saturday,19:00-19:30,No,Yes,Market,Tier I,Bus Stand,Yes,0.6053543975478435
Saturday,07:30-08:00,Yes,No,Office Area,Tier III,Airport,Yes,0.8646955941029728
Monday,13:30-14:00,No,No,Market,Tier III,None,No,0.399567388716225
Thursday,15:00-15:30,Yes,No,Market,Tier II,Airport,Yes,0.7334566652758577
Thursday,09:30-10:00,No,Yes,Market,Tier II,Airport,No,0.2495025103833688
Thursday,18:30-19:00,No,Yes,Commercial,Tier II,Airport,No,0.3929215797974067
Saturday,20:00-20:30,No,No,Commercial,Tier I,Airport,No,0.11145989057758399
Monday,03:00-03:30,No,No,Residential,Tier III,Airport,No,0.9256093450732507
Sunday,13:30-14:00,Yes,No,Residential,Tier I,Bus Stand,Yes,0.6790814072242505
Wednesday,17:30-18:00,Yes,No,Residential,Tier I,Bus Stand,Yes,0.41539585820291336
Sunday,15:00-15:30,Yes,Yes,Market,Tier III,Railway Station,No,0.5372419636069503
Friday,11:00-11:30,Yes,Yes,Commercial,Tier III,None,No,0.5612702034358912
Friday,13:00-13:30,No,Yes,Office Area,Tier III,Railway Station,No,0.1399097211459619
Thursday,02:00-02:30,No,No,Residential,Tier II,Bus Stand,No,0.6808025715654766
Tuesday,19:00-19:30,No,Yes,Residential,Tier II,Bus Stand,No,0.660692534110569
Tuesday,16:30-17:00,No,Yes,Residential,Tier I,Bus Stand,Yes,0.49438347805105154
Sunday,13:00-13:30,No,No,Commercial,Tier III,Bus Stand,Yes,0.1928286578569388
Wednesday,22:00-22:30,No,No,Office Area,Tier II,Airport,No,0.519142706304168
Saturday,12:30-13:00,Yes,Yes,Market,Tier III,Airport,No,0.27348589012393365
Friday,19:30-20:00,Yes,Yes,Office Area,Tier II,Railway Station,Yes,0.45080643976278667
Wednesday,01:00-01:30,No,No,Market,Tier I,Railway Station,Yes,0.5566548372574583
Sunday,19:30-20:00,Yes,No,Residential,Tier II,Airport,No,0.353804565151583
Thursday,07:30-08:00,Yes,Yes,Residential,Tier I,Railway Station,Yes,0.016196893386646982
Saturday,02:00-02:30,Yes,No,Residential,Tier II,Railway Station,No,0.5236001692868567
Friday,03:30-04:00,No,Yes,Residential,Tier I,Railway Station,No,0.8708982028282433
Saturday,16:30-17:00,No,Yes,Market,Tier I,Airport,Yes,0.8018737006006659
Tuesday,08:00-08:30,Yes,Yes,Commercial,Tier III,Bus Stand,No,0.3668983239228685
Thursday,16:00-16:30,Yes,No,Residential,Tier I,Railway Station,No,0.028902573567567424
Tuesday,14:30-15:00,No,No,Market,Tier I,Railway Station,Yes,0.7106630008376982
Thursday,00:00-00:30,Yes,No,Commercial,Tier I,Railway Station,No,0.9462894289971662
Friday,21:00-21:30,Yes,No,Market,Tier I,Bus Stand,No,0.2671485185244131
Monday,20:00-20:30,Yes,Yes,Residential,Tier III,Airport,Yes,0.659640331071824
Sunday,04:30-05:00,No,No,Commercial,Tier II,Railway Station,Yes,0.4290422209697988
Thursday,22:00-22:30,Yes,Yes,Market,Tier III,Railway Station,No,0.941347193701243
Sunday,17:00-17:30,Yes,Yes,Residential,Tier II,Bus Stand,No,0.32888837461268183
Sunday,00:30-01:00,No,Yes,Commercial,Tier I,Railway Station,Yes,0.5508840818450297
Wednesday,14:30-15:00,No,No,Residential,Tier II,Airport,Yes,0.17278242857821635
Sunday,17:00-17:30,No,Yes,Office Area,Tier III,Bus Stand,Yes,0.8300796288772597
Tuesday,07:30-08:00,Yes,Yes,Market,Tier III,Airport,No,0.29060405730551386
Monday,18:30-19:00,No,No,Office Area,Tier I,Airport,No,0.7944063652826088
Sunday,09:30-10:00,No,No,Market,Tier I,Railway Station,Yes,0.8033579013267612
Thursday,11:30-12:00,No,Yes,Commercial,Tier II,None,No,0.8929302437642073
Sunday,14:30-15:00,No,No,Market,Tier I,Bus Stand,No,0.404921802331343
Saturday,09:30-10:00,Yes,Yes,Commercial,Tier II,Railway Station,Yes,0.9686203490747441
Tuesday,05:30-06:00,Yes,Yes,Market,Tier I,Railway Station,No,0.4755213649741833
Tuesday,03:00-03:30,No,Yes,Market,Tier I,Bus Stand,Yes,0.014673627521345156
Thursday,19:00-19:30,No,Yes,Market,Tier II,Airport,Yes,0.9322211857410634
Tuesday,12:30-13:00,Yes,No,Market,Tier III,Railway Station,Yes,0.3478771515791752
Friday,09:30-10:00,No,Yes,Office Area,Tier III,Airport,Yes,0.154236768154437
Saturday,23:30-00:00,No,Yes,Residential,Tier I,Bus Stand,No,0.6002458975710409
Sunday,19:00-19:30,No,No,Commercial,Tier III,Bus Stand,Yes,0.34577195000313965
Thursday,11:30-12:00,Yes,No,Office Area,Tier III,Railway Station,No,0.7677326554265371
Wednesday,00:00-00:30,Yes,Yes,Residential,Tier I,Railway Station,No,0.7464198022011668
Tuesday,18:30-19:00,Yes,No,Commercial,Tier III,None,No,0.5992767837523097
Saturday,12:00-12:30,Yes,Yes,Residential,Tier I,Airport,No,0.0692745059307156
Wednesday,23:00-23:30,Yes,No,Market,Tier I,Bus Stand,No,0.20911376404160031
Wednesday,23:30-00:00,Yes,No,Commercial,Tier II,Airport,No,0.892980816542751
Sunday,13:00-13:30,No,No,Commercial,Tier III,Bus Stand,Yes,0.4585705776698702
Monday,20:00-20:30,Yes,Yes,Residential,Tier III,Bus Stand,Yes,0.09201307735168929
Friday,22:30-23:00,Yes,Yes,Commercial,Tier II,Bus Stand,No,0.3793860491947816
Thursday,04:00-04:30,Yes,Yes,Market,Tier II,None,Yes,0.32671657114669317
Sunday,10:30-11:00,No,Yes,Residential,Tier I,Bus Stand,No,0.2333901285006872
Saturday,00:30-01:00,No,Yes,Commercial,Tier II,Railway Station,Yes,0.31447881280655177
Saturday,20:00-20:30,Yes,Yes,Market,Tier I,Railway Station,Yes,0.5933086074780889
Sunday,01:00-01:30,No,No,Market,Tier II,Railway Station,No,0.6664299688784914
Saturday,19:30-20:00,Yes,No,Residential,Tier I,Bus Stand,Yes,0.32484083503974126
Wednesday,00:00-00:30,Yes,No,Office Area,Tier II,None,Yes,0.7086738110604033
Sunday,11:30-12:00,No,No,Market,Tier I,Bus Stand,Yes,0.5992688830839198
Sunday,11:30-12:00,Yes,Yes,Residential,Tier I,Airport,No,0.4194020536648758
Saturday,10:30-11:00,No,Yes,Residential,Tier III,Railway Station,Yes,0.5432161821678684
Monday,05:00-05:30,Yes,No,Office Area,Tier I,None,Yes,0.4033279906634827
Saturday,01:00-01:30,No,Yes,Office Area,Tier III,None,Yes,0.7799849886957104
Tuesday,13:00-13:30,No,No,Market,Tier I,Railway Station,Yes,0.42517778841061415
Friday,13:00-13:30,Yes,No,Commercial,Tier II,Airport,No,0.46596270261235484
Tuesday,23:00-23:30,No,Yes,Residential,Tier I,None,No,0.340865305844258
Sunday,08:30-09:00,Yes,No,Market,Tier II,Bus Stand,Yes,0.41019896793142285
Thursday,01:00-01:30,Yes,No,Residential,Tier III,None,No,0.7465058423350631
Sunday,15:00-15:30,No,Yes,Commercial,Tier III,Railway Station,No,0.6345612890184091
Monday,13:30-14:00,Yes,Yes,Office Area,Tier II,Railway Station,Yes,0.7356723713506956
Monday,16:00-16:30,Yes,No,Market,Tier II,None,No,0.04054869802420524
Wednesday,00:00-00:30,No,No,Residential,Tier II,None,Yes,0.8582394197431086
Thursday,05:30-06:00,No,Yes,Office Area,Tier I,None,No,0.332696986938694
Thursday,09:30-10:00,Yes,Yes,Office Area,Tier III,None,No,0.9004235433580363
Sunday,14:00-14:30,No,Yes,Market,Tier I,Railway Station,Yes,0.45349806289003536
Tuesday,05:30-06:00,Yes,No,Commercial,Tier II,Bus Stand,No,0.8124481675739261
Tuesday,11:00-11:30,No,No,Office Area,Tier II,Airport,Yes,0.4580927777119139
Tuesday,02:00-02:30,Yes,Yes,Commercial,Tier III,Railway Station,No,0.11584775969853589
Saturday,12:00-12:30,No,No,Residential,Tier II,Bus Stand,Yes,0.5449245169278985
Saturday,03:00-03:30,No,No,Office Area,Tier I,Airport,No,0.03563883352843833
Wednesday,23:00-23:30,Yes,No,Office Area,Tier III,None,No,0.11501861107386857
Thursday,08:30-09:00,No,No,Commercial,Tier I,Railway Station,No,0.2894858065024797
Wednesday,00:00-00:30,No,No,Commercial,Tier III,Airport,No,0.46213231031765933
Wednesday,04:30-05:00,No,Yes,Office Area,Tier I,Bus Stand,No,0.7069573418905528
Saturday,06:30-07:00,Yes,No,Office Area,Tier III,Bus Stand,Yes,0.3941144115818713
Monday,16:30-17:00,Yes,No,Office Area,Tier II,Airport,No,0.25978291240077744
Saturday,17:00-17:30,Yes,Yes,Market,Tier I,Bus Stand,No,0.7432298758666095
Sunday,04:30-05:00,Yes,Yes,Commercial,Tier I,Railway Station,No,0.5562784986251783
Sunday,00:30-01:00,No,No,Residential,Tier II,Bus Stand,No,0.9304823233976265
Monday,13:00-13:30,Yes,Yes,Office Area,Tier III,Railway Station,No,0.877536121184268
Tuesday,10:30-11:00,No,No,Office Area,Tier III,None,Yes,0.6883965243224236
Tuesday,05:00-05:30,Yes,No,Market,Tier I,Airport,Yes,0.4688028149667325
Wednesday,21:00-21:30,Yes,No,Market,Tier III,Railway Station,No,0.6281767398906691
Sunday,01:30-02:00,No,Yes,Market,Tier III,Railway Station,Yes,0.5296887542110111
Saturday,19:00-19:30,No,Yes,Office Area,Tier I,None,No,0.6875061290818921
Wednesday,09:00-09:30,No,Yes,Office Area,Tier III,None,Yes,0.2688733546000922
Thursday,03:30-04:00,No,Yes,Market,Tier II,Railway Station,No,0.09669019834926218
Saturday,14:00-14:30,Yes,Yes,Office Area,Tier I,Bus Stand,Yes,0.5300099892131679
Sunday,12:30-13:00,No,No,Residential,Tier III,None,No,0.8612452720820938
Friday,19:00-19:30,No,No,Office Area,Tier I,Airport,Yes,0.29094407373427345
Tuesday,16:30-17:00,Yes,Yes,Commercial,Tier I,Airport,Yes,0.5169898793988005
Thursday,16:00-16:30,Yes,Yes,Commercial,Tier I,Bus Stand,Yes,0.35274836447902536
Sunday,07:00-07:30,Yes,Yes,Market,Tier I,Railway Station,No,0.6359223708583541
Monday,02:30-03:00,No,Yes,Office Area,Tier I,Railway Station,No,0.9896359342465266
Monday,04:30-05:00,No,No,Commercial,Tier II,Airport,No,0.2746149206053089
Sunday,06:00-06:30,No,No,Market,Tier II,Bus Stand,No,0.690185585406736
Friday,18:00-18:30,Yes,Yes,Market,Tier III,Airport,Yes,0.45440738773450806
Wednesday,00:30-01:00,Yes,Yes,Residential,Tier II,Railway Station,Yes,0.3572452746116377
Monday,04:30-05:00,No,No,Commercial,Tier II,Railway Station,Yes,0.9071670031580976
Thursday,19:30-20:00,No,Yes,Office Area,Tier III,Airport,No,0.41455069911383413
Saturday,22:30-23:00,Yes,Yes,Residential,Tier II,Bus Stand,No,0.8106854968213775
Monday,22:00-22:30,Yes,Yes,Office Area,Tier III,None,Yes,0.8390369880457567
Tuesday,19:30-20:00,Yes,Yes,Residential,Tier II,None,No,0.2389440592094385
Sunday,02:30-03:00,Yes,No,Commercial,Tier III,None,No,0.49297583277883006
Sunday,03:30-04:00,Yes,No,Office Area,Tier I,Airport,Yes,0.9786496822048655
Tuesday,00:00-00:30,No,No,Commercial,Tier I,Airport,Yes,0.7700136832366724
Tuesday,08:30-09:00,Yes,Yes,Commercial,Tier III,Railway Station,No,0.13050962043468217
Tuesday,21:00-21:30,Yes,Yes,Market,Tier II,Bus Stand,No,0.09274526845627595
Tuesday,04:00-04:30,No,Yes,Commercial,Tier I,None,No,0.28183214638537
Thursday,05:30-06:00,Yes,No,Office Area,Tier II,None,Yes,0.3251611589957636
Thursday,21:00-21:30,Yes,Yes,Market,Tier I,Airport,Yes,0.15156778709262508
Monday,21:30-22:00,No,Yes,Office Area,Tier I,Bus Stand,Yes,0.036932522980172355
Tuesday,19:00-19:30,No,Yes,Residential,Tier II,None,Yes,0.6560393158574707
Saturday,17:30-18:00,No,Yes,Market,Tier III,Bus Stand,No,0.8942807825582408
Tuesday,03:00-03:30,Yes,No,Residential,Tier II,None,No,0.6574940241330313
Saturday,21:00-21:30,Yes,Yes,Office Area,Tier II,Bus Stand,Yes,0.024227706412493166
Friday,00:30-01:00,Yes,Yes,Office Area,Tier III,None,Yes,0.5612732440992388
Monday,14:00-14:30,No,No,Residential,Tier III,Airport,No,0.6280599790134306
Tuesday,14:30-15:00,Yes,No,Market,Tier I,Airport,No,0.07716600734232704
Tuesday,09:00-09:30,Yes,Yes,Residential,Tier II,None,No,0.7684703861961791
Friday,14:00-14:30,No,No,Residential,Tier II,None,No,0.8712331907260029
Friday,05:00-05:30,Yes,No,Office Area,Tier I,None,No,0.5082277467846565
Saturday,21:30-22:00,Yes,No,Market,Tier II,Airport,Yes,0.3540452432085628
Monday,13:30-14:00,No,Yes,Office Area,Tier II,None,No,0.26417788450728696
Sunday,13:00-13:30,No,No,Office Area,Tier II,Railway Station,Yes,0.5419027301161045
Friday,07:30-08:00,No,No,Commercial,Tier I,Bus Stand,Yes,0.7308712516657186
Tuesday,07:00-07:30,No,No,Market,Tier III,Bus Stand,No,0.9284715522246229
Saturday,17:30-18:00,No,No,Office Area,Tier II,Airport,No,0.15589627058682753
Sunday,21:30-22:00,Yes,No,Office Area,Tier I,Airport,No,0.4961884014161513
Tuesday,20:30-21:00,No,Yes,Market,Tier II,Railway Station,No,0.016690491497805326
Thursday,09:00-09:30,Yes,Yes,Commercial,Tier II,None,Yes,0.7971408819479221
Friday,04:30-05:00,Yes,Yes,Office Area,Tier II,Bus Stand,Yes,0.6652099929242036
Tuesday,10:00-10:30,No,Yes,Market,Tier II,Railway Station,Yes,0.27249414339680966
Friday,19:30-20:00,Yes,Yes,Residential,Tier II,Airport,No,0.6392950768566799
Thursday,21:30-22:00,Yes,No,Office Area,Tier I,Airport,Yes,0.4388696194877866
Thursday,13:00-13:30,No,No,Commercial,Tier II,None,No,0.40170404559072836
Wednesday,23:00-23:30,No,No,Commercial,Tier I,None,Yes,0.9478490503169112
Friday,05:00-05:30,No,No,Commercial,Tier II,Railway Station,No,0.30499168328988513
Friday,11:00-11:30,No,Yes,Residential,Tier I,None,No,0.7995680295132447
Tuesday,23:00-23:30,No,No,Market,Tier III,Airport,No,0.041480972742220845
Friday,09:00-09:30,Yes,No,Commercial,Tier II,Railway Station,No,0.39725207568676113
Sunday,10:00-10:30,No,Yes,Office Area,Tier II,Railway Station,Yes,0.4859667871000106
Wednesday,09:30-10:00,Yes,No,Commercial,Tier I,Railway Station,Yes,0.08632200798044298
Tuesday,06:00-06:30,No,No,Commercial,Tier II,Bus Stand,Yes,0.027053628197657886
Saturday,09:30-10:00,Yes,No,Commercial,Tier I,Bus Stand,No,0.776799596759301
Friday,10:30-11:00,No,Yes,Market,Tier I,None,No,0.9538860536348747
Thursday,05:30-06:00,No,Yes,Market,Tier III,Railway Station,Yes,0.6891050589631633
Friday,10:30-11:00,No,No,Commercial,Tier III,None,No,0.23174800092202008
Tuesday,03:30-04:00,No,No,Residential,Tier II,Bus Stand,Yes,0.7065744421198232
Thursday,17:30-18:00,Yes,Yes,Office Area,Tier I,Airport,Yes,0.2993207876314823
Monday,05:00-05:30,No,No,Residential,Tier II,Airport,Yes,0.3611486889084503
Tuesday,13:00-13:30,No,Yes,Commercial,Tier III,Bus Stand,No,0.18941129541681645
Saturday,06:30-07:00,Yes,Yes,Market,Tier II,Railway Station,No,0.19350260973812028
Friday,16:30-17:00,Yes,Yes,Residential,Tier I,Airport,No,0.2515149724532635
Wednesday,09:30-10:00,No,Yes,Residential,Tier III,Railway Station,Yes,0.9936364495247226
Thursday,18:00-18:30,No,No,Market,Tier I,Bus Stand,No,0.4240536401430963
Saturday,18:30-19:00,No,No,Market,Tier I,None,No,0.6349918649236936
Thursday,18:00-18:30,No,Yes,Commercial,Tier II,None,Yes,0.7974677455328657
Thursday,11:30-12:00,Yes,Yes,Commercial,Tier III,Bus Stand,No,0.10800828011482366
Friday,22:30-23:00,No,No,Residential,Tier I,None,No,0.11688226919929545
Thursday,09:30-10:00,No,Yes,Commercial,Tier I,Bus Stand,Yes,0.2894192906795273
Wednesday,23:00-23:30,No,No,Office Area,Tier II,None,Yes,0.46774229060582584
Thursday,01:30-02:00,Yes,Yes,Market,Tier III,Airport,Yes,0.2912158689502695
Friday,21:30-22:00,Yes,No,Residential,Tier III,Airport,Yes,0.9061133404207041
Friday,10:00-10:30,No,Yes,Market,Tier II,Bus Stand,No,0.2307825185764204
Saturday,09:00-09:30,No,Yes,Residential,Tier II,Airport,Yes,0.31126648686928327
Friday,19:30-20:00,No,Yes,Market,Tier II,Railway Station,No,0.14728295409071168
Thursday,03:00-03:30,Yes,No,Market,Tier I,Bus Stand,Yes,0.678874266002198
Sunday,18:30-19:00,No,No,Office Area,Tier I,None,Yes,0.8034863599493267
Tuesday,12:30-13:00,No,Yes,Market,Tier II,Railway Station,Yes,0.5963348767027399
Monday,17:30-18:00,Yes,Yes,Market,Tier III,Railway Station,No,0.7262628674039562
Sunday,16:30-17:00,Yes,Yes,Residential,Tier III,Airport,No,0.9298468074604276
Wednesday,15:00-15:30,Yes,No,Residential,Tier II,None,No,0.7497132024736948
Wednesday,22:30-23:00,Yes,Yes,Office Area,Tier I,None,Yes,0.6376740683525942
Sunday,05:30-06:00,No,Yes,Office Area,Tier II,Bus Stand,Yes,0.9455753164227508
Monday,13:00-13:30,No,No,Commercial,Tier II,None,Yes,0.6130779422210156
Monday,09:00-09:30,Yes,Yes,Residential,Tier I,Bus Stand,No,0.6256300586823915
Wednesday,05:30-06:00,Yes,Yes,Market,Tier III,Railway Station,Yes,0.9221466269931471
Tuesday,03:00-03:30,Yes,Yes,Office Area,Tier III,None,Yes,0.1922156851842204
Tuesday,15:00-15:30,Yes,No,Commercial,Tier I,None,No,0.49778523351496307
Monday,10:00-10:30,No,Yes,Office Area,Tier I,None,Yes,0.6760697248455354
Saturday,10:00-10:30,No,No,Residential,Tier I,Airport,No,0.07807974382474692
Thursday,21:30-22:00,Yes,No,Commercial,Tier I,None,Yes,0.9636002491099622
Wednesday,17:00-17:30,Yes,No,Market,Tier I,Bus Stand,No,0.933947972508189
Monday,18:30-19:00,Yes,Yes,Office Area,Tier I,Airport,Yes,0.5716979075710541
Wednesday,03:00-03:30,Yes,Yes,Market,Tier I,Railway Station,Yes,0.698566819997107
Saturday,22:30-23:00,No,Yes,Office Area,Tier I,Airport,Yes,0.5104726581187062
Tuesday,02:00-02:30,No,No,Residential,Tier III,None,Yes,0.14862047935697376
Saturday,21:00-21:30,No,Yes,Office Area,Tier I,Airport,Yes,0.18390039114760537
Sunday,12:00-12:30,No,No,Office Area,Tier III,Airport,No,0.9721768873552299
Friday,17:30-18:00,Yes,No,Residential,Tier II,Bus Stand,No,0.6396926738796886
Tuesday,18:30-19:00,No,No,Office Area,Tier III,Bus Stand,No,0.5247654366840621
Tuesday,09:30-10:00,Yes,Yes,Commercial,Tier I,Bus Stand,No,0.8497874137733951
Monday,06:30-07:00,No,No,Market,Tier II,Railway Station,Yes,0.5173728252618697
Thursday,07:30-08:00,No,Yes,Commercial,Tier I,None,Yes,0.39631604308545154
Thursday,18:30-19:00,Yes,No,Office Area,Tier III,Railway Station,No,0.657106632885039
Thursday,14:30-15:00,Yes,No,Market,Tier III,Bus Stand,Yes,0.7345818318429601
Tuesday,00:30-01:00,Yes,No,Commercial,Tier III,Bus Stand,No,0.034667956431107094
Sunday,06:00-06:30,No,Yes,Market,Tier II,Railway Station,Yes,0.7282807828969102
Wednesday,07:00-07:30,Yes,No,Commercial,Tier II,Airport,Yes,0.6224452861454592
Friday,06:30-07:00,Yes,Yes,Residential,Tier II,Bus Stand,Yes,0.29912390408968037
Wednesday,07:00-07:30,No,No,Commercial,Tier I,None,Yes,0.9068434991998873
Tuesday,08:00-08:30,No,No,Office Area,Tier I,Railway Station,Yes,0.991630830571204
Sunday,09:30-10:00,Yes,Yes,Residential,Tier III,Bus Stand,Yes,0.15623191216338905
Sunday,03:00-03:30,No,No,Commercial,Tier III,None,No,0.7226961848320749
Monday,09:00-09:30,No,No,Market,Tier I,None,No,0.9068082544559427
Monday,09:00-09:30,No,Yes,Residential,Tier II,Airport,No,0.47509346254852536
Sunday,11:00-11:30,Yes,Yes,Commercial,Tier II,Bus Stand,No,0.703257645321153
Friday,14:00-14:30,Yes,Yes,Office Area,Tier III,None,No,0.6013120583559846
Friday,17:30-18:00,No,Yes,Residential,Tier III,None,No,0.616256236837887
Tuesday,01:00-01:30,Yes,No,Office Area,Tier III,Airport,Yes,0.5451898367890458
Friday,12:30-13:00,Yes,Yes,Commercial,Tier I,None,No,0.8637194484511981
Sunday,22:30-23:00,Yes,Yes,Residential,Tier III,Railway Station,No,0.8105985251156839
Monday,07:00-07:30,Yes,No,Commercial,Tier II,None,No,0.013412156530103636
Wednesday,16:30-17:00,No,No,Residential,Tier II,Bus Stand,No,0.13846434402826735
Wednesday,12:00-12:30,Yes,Yes,Residential,Tier I,Railway Station,No,0.3141591883478404
Wednesday,13:00-13:30,Yes,Yes,Office Area,Tier I,Railway Station,Yes,0.19005516918368803
Thursday,05:30-06:00,No,Yes,Commercial,Tier I,Bus Stand,Yes,0.9919774309045092
Tuesday,13:30-14:00,Yes,Yes,Commercial,Tier I,Airport,No,0.36761512360970305
Friday,02:00-02:30,Yes,No,Market,Tier III,Airport,Yes,0.9224497026552821
Thursday,12:00-12:30,No,No,Office Area,Tier I,Airport,No,0.028045093187748615
Thursday,17:00-17:30,Yes,Yes,Market,Tier II,Railway Station,Yes,0.5980546245960088
Friday,12:30-13:00,No,No,Commercial,Tier I,Railway Station,Yes,0.5721482620201394
Thursday,02:30-03:00,No,No,Office Area,Tier I,Bus Stand,No,0.17528418535934642
Sunday,05:00-05:30,Yes,Yes,Residential,Tier III,Bus Stand,Yes,0.37174009000997155
Thursday,14:30-15:00,Yes,No,Office Area,Tier III,Railway Station,No,0.3801112341905428
Monday,11:00-11:30,Yes,No,Office Area,Tier II,None,No,0.5273160279527161
Friday,21:00-21:30,Yes,No,Market,Tier III,Bus Stand,No,0.6566429912495578
Saturday,21:30-22:00,Yes,Yes,Residential,Tier I,None,No,0.6674825362631668
Thursday,09:30-10:00,Yes,Yes,Commercial,Tier I,None,Yes,0.4536825607387235
Sunday,13:30-14:00,No,No,Office Area,Tier I,Bus Stand,Yes,0.32023032993189127
Tuesday,21:30-22:00,Yes,No,Residential,Tier I,Railway Station,Yes,0.27268659059889655
Monday,17:00-17:30,No,No,Office Area,Tier III,None,No,0.6756703979504054
Thursday,23:30-00:00,No,No,Commercial,Tier I,Railway Station,Yes,0.9454082771055148
Saturday,16:30-17:00,No,Yes,Market,Tier I,Bus Stand,No,0.22282142885254397
Saturday,10:00-10:30,No,Yes,Office Area,Tier III,Railway Station,No,0.9654035417890852
Friday,11:30-12:00,No,No,Commercial,Tier III,Bus Stand,No,0.9371399185100326
Monday,11:00-11:30,No,No,Commercial,Tier I,None,Yes,0.9039421564288677
Thursday,07:30-08:00,No,No,Market,Tier I,None,No,0.5109909522173794
Wednesday,13:30-14:00,Yes,No,Office Area,Tier III,None,Yes,0.3743472581002869
